lambda,beta,accuracy
0.05,0.01,0.79107877922142
0.05,0.02,0.8147188597396771
0.05,0.05,0.8133654041099048
0.05,0.1,0.8021728476991459
0.1,0.01,0.7133811205069253
0.1,0.02,0.7939020751634455
0.1,0.05,0.816246073830826
0.1,0.1,0.8060753436780514
0.2,0.01,0.6354836395618474
0.2,0.02,0.7188477216935653
0.2,0.05,0.8174687455223244
0.2,0.1,0.8119232646915476
0.4,0.01,0.6238361299205782
0.4,0.02,0.6623028301904694
0.4,0.05,0.8102285801861254
0.4,0.1,0.8126610312121915
0.8,0.01,0.535658101242693
0.8,0.02,0.6316335687803893
0.8,0.05,0.7703327816843252
0.8,0.1,0.8091443571530387
